user_id,installed_at,platform,is_internal,ab_variant,ab_experiment,country
u_0042_00027,2026-07-30T02:56:58+03:00,android,false,treatment,paywall_timing_2026q3,RU
u_0042_00028,2026-07-29T04:14:34+03:00,web,false,treatment,paywall_timing_2026q3,RU
u_0042_00029,2026-07-09T17:49:46+03:00,web,false,treatment,paywall_timing_2026q3,RU
u_0042_00030,2026-08-09T03:39:00+03:00,ios,false,control,paywall_timing_2026q3,RU
u_0042_00031,2026-07-10T09:17:03+03:00,ios,false,treatment,paywall_timing_2026q3,RU
u_0042_00032,2026-07-05T02:01:19+03:00,ios,false,treatment,paywall_timing_2026q3,RU
u_0042_00033,2026-07-18T22:34:17+03:00,web,false,control,paywall_timing_2026q3,RU
u_0042_00034,2026-07-23T22:37:29+03:00,ios,false,control,paywall_timing_2026q3,RU
u_0042_00035,2026-08-06T06:36:32+03:00,ios,false,treatment,paywall_timing_2026q3,RU
u_0042_00036,2026-08-01T03:12:13+03:00,ios,false,treatment,paywall_timing_2026q3,RU
u_0042_00037,2026-07-15T04:01:28+03:00,ios,false,treatment,paywall_timing_2026q3,RU
u_0042_00038,2026-08-08T16:05:49+03:00,web,false,control,paywall_timing_2026q3,RU
u_0042_00039,2026-08-08T15:57:55+03:00,web,false,control,paywall_timing_2026q3,RU
u_0042_00040,2026-08-14T19:39:27+03:00,web,false,control,paywall_timing_2026q3,RU
u_0042_00041,2026-08-06T14:27:08+03:00,ios,false,treatment,paywall_timing_2026q3,RU
u_0042_00042,2026-07-11T14:50:57+03:00,android,false,treatment,paywall_timing_2026q3,RU
u_0042_00043,2026-08-08T02:41:37+03:00,android,false,control,paywall_timing_2026q3,RU
u_0042_00044,2026-07-21T02:12:41+03:00,android,false,treatment,paywall_timing_2026q3,RU
u_0042_00045,2026-07-30T07:23:51+03:00,ios,false,treatment,paywall_timing_2026q3,RU
u_0042_00046,2026-07-13T21:12:46+03:00,android,false,treatment,paywall_timing_2026q3,RU
u_0042_00047,2026-07-10T22:40:21+03:00,ios,false,control,paywall_timing_2026q3,RU
u_0042_00048,2026-08-11T16:23:55+03:00,ios,true,,,UZ
u_0042_00049,2026-08-15T05:59:13+03:00,ios,false,control,paywall_timing_2026q3,RU
u_0042_00050,2026-07-30T00:20:57+03:00,ios,false,treatment,paywall_timing_2026q3,BY
u_0042_00051,2026-07-04T16:27:42+03:00,ios,false,control,paywall_timing_2026q3,RU
u_0042_00052,2026-08-13T19:34:33+03:00,ios,false,treatment,paywall_timing_2026q3,RU
u_0042_00053,2026-09-02T11:04:49+03:00,ios,false,treatment,paywall_timing_2026q3,RU
u_0042_00054,2026-08-23T08:48:24+03:00,android,false,control,paywall_timing_2026q3,RU
u_0042_00055,2026-09-02T13:45:57+03:00,android,false,treatment,paywall_timing_2026q3,BY
u_0042_00056,2026-08-26T23:31:48+03:00,android,false,control,paywall_timing_2026q3,RU
u_0042_00057,2026-07-02T22:43:31+03:00,android,false,treatment,paywall_timing_2026q3,RU
u_0042_00058,2026-08-03T20:33:04+03:00,android,false,control,paywall_timing_2026q3,RU
u_0042_00059,2026-07-15T15:20:21+03:00,ios,false,control,paywall_timing_2026q3,RU
u_0042_00060,2026-08-31T14:29:23+03:00,ios,false,control,paywall_timing_2026q3,RU
u_0042_00061,2026-08-16T08:25:23+03:00,ios,false,control,paywall_timing_2026q3,RU
u_0042_00062,2026-08-03T10:23:35+03:00,ios,false,control,paywall_timing_2026q3,RU
u_0042_00063,2026-07-05T20:41:43+03:00,ios,false,control,paywall_timing_2026q3,BY
u_0042_00064,2026-08-14T07:48:44+03:00,ios,false,control,paywall_timing_2026q3,RU
u_0042_00065,2026-07-21T22:21:35+03:00,android,false,treatment,paywall_timing_2026q3,RU
u_0042_00066,2026-07-01T10:06:26+03:00,android,false,control,paywall_timing_2026q3,RU
u_0042_00067,2026-08-01T05:57:01+03:00,android,false,control,paywall_timing_2026q3,RU
u_0042_00068,2026-07-31T11:27:54+03:00,android,false,treatment,paywall_timing_2026q3,RU
u_0042_00069,2026-08-31T20:01:55+03:00,ios,false,control,paywall_timing_2026q3,RU
u_0042_00070,2026-07-03T10:53:18+03:00,ios,false,control,paywall_timing_2026q3,BY
u_0042_00071,2026-08-31T02:52:30+03:00,android,false,treatment,paywall_timing_2026q3,RU
u_0042_00072,2026-07-06T06:27:13+03:00,ios,false,control,paywall_timing_2026q3,KZ
u_0042_00073,2026-08-13T05:45:33+03:00,ios,false,control,paywall_timing_2026q3,RU
u_0042_00074,2026-07-08T07:41:40+03:00,android,false,treatment,paywall_timing_2026q3,RU
u_0042_00075,2026-07-09T19:00:22+03:00,ios,false,treatment,paywall_timing_2026q3,RU
u_0042_00076,2026-08-17T08:17:18+03:00,ios,false,control,paywall_timing_2026q3,RU
u_0042_00077,2026-07-26T16:22:40+03:00,ios,false,treatment,paywall_timing_2026q3,RU
u_0042_00078,2026-07-12T09:49:59+03:00,ios,false,treatment,paywall_timing_2026q3,RU
u_0042_00079,2026-08-11T15:32:25+03:00,ios,false,treatment,paywall_timing_2026q3,RU
u_0042_00080,2026-07-01T16:34:37+03:00,android,true,,,RU
u_0042_00081,2026-08-24T03:12:54+03:00,android,false,control,paywall_timing_2026q3,RU
u_0042_00082,2026-08-13T08:38:29+03:00,android,false,treatment,paywall_timing_2026q3,RU
u_0042_00083,2026-07-07T05:19:05+03:00,ios,false,control,paywall_timing_2026q3,RU
u_0042_00084,2026-08-22T13:43:32+03:00,web,false,treatment,paywall_timing_2026q3,RU
u_0042_00085,2026-08-11T02:04:16+03:00,android,false,treatment,paywall_timing_2026q3,RU
u_0042_00086,2026-07-07T22:14:37+03:00,ios,false,control,paywall_timing_2026q3,RU
u_0042_00087,2026-07-19T07:24:08+03:00,ios,false,treatment,paywall_timing_2026q3,RU
u_0042_00088,2026-07-19T17:38:30+03:00,ios,false,control,paywall_timing_2026q3,RU
u_0042_00089,2026-08-11T11:09:24+03:00,android,false,control,paywall_timing_2026q3,RU
u_0042_00090,2026-08-24T11:36:55+03:00,android,false,treatment,paywall_timing_2026q3,RU
u_0042_00091,2026-08-04T04:01:00+03:00,ios,false,control,paywall_timing_2026q3,RU
u_0042_00092,2026-08-06T22:20:09+03:00,android,false,control,paywall_timing_2026q3,RU
u_0042_00093,2026-07-30T13:39:45+03:00,android,false,control,paywall_timing_2026q3,RU
u_0042_00094,2026-08-26T20:11:31+03:00,web,false,treatment,paywall_timing_2026q3,RU
u_0042_00095,2026-07-12T23:52:44+03:00,ios,false,treatment,paywall_timing_2026q3,RU
u_0042_00096,2026-08-02T13:03:23+03:00,android,false,treatment,paywall_timing_2026q3,RU
u_0042_00097,2026-08-14T12:42:53+03:00,android,false,control,paywall_timing_2026q3,RU
u_0042_00098,2026-07-21T03:49:50+03:00,ios,false,control,paywall_timing_2026q3,RU
u_0042_00099,2026-08-27T18:22:41+03:00,android,false,treatment,paywall_timing_2026q3,RU
